,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
802,preseq_00000707,462645105.076623,462644922.276623,8,182.80000001192093,651337038.794898,651337221.594898,30,182.79999995231628
803,preseq_00000719,461132106.801306,461131924.001306,10,182.80000001192093,647439897.563527,647441359.963527,5,1462.3999999761581
804,preseq_00000731,463738730.014123,463738547.214123,10,182.80000001192093,651336856.239351,651337039.039351,11,182.79999995231628
805,preseq_00000743,462645287.876623,462645105.076623,10,182.79999995231628,647437946.338126,647438921.27146,13,974.9333341121674
806,preseq_00000755,462645287.876623,462645105.076623,8,182.79999995231628,651337038.017855,651337220.817855,35,182.79999995231628
807,preseq_00000767,456457392.051623,456457209.251623,10,182.80000001192093,642561348.958713,642562811.358713,1,1462.3999999761581
808,preseq_00000779,456457392.051623,456457209.251623,8,182.80000001192093,651337038.32906,651337221.12906,34,182.80000007152557
809,preseq_00000791,454944393.776306,454944210.976306,10,182.79999995231628,642546725.113993,642548187.513993,0,1462.3999999761581
810,preseq_00000803,457551016.989123,457550834.189123,10,182.80000001192093,642556961.913993,642558424.313993,0,1462.3999999761581
811,preseq_00000815,456457574.851623,456457392.051623,10,182.80000001192093,642549649.758714,642551112.158714,1,1462.4000000953674
812,preseq_00000827,456457574.851623,456457392.051623,8,182.80000001192093,651337039.19463,651337221.99463,10,182.79999995231628
813,preseq_00000839,450269861.826623,450269679.026623,10,182.80000001192093,647438433.430218,647439164.630218,28,731.2000000476837
814,preseq_00000851,451363303.964123,451363121.164123,10,182.80000001192093,647439896.360072,647440871.293406,14,974.9333339929581
815,preseq_00000863,448756680.751306,448756497.951306,10,182.80000001192093,647439898.184645,647441360.584645,1,1462.3999999761581
816,preseq_00000875,450269861.826623,450269679.026623,8,182.80000001192093,647436971.249514,647437946.182847,12,974.9333330392838
817,preseq_00000887,450269679.026623,450269496.226623,10,182.80000001192093,637652136.469631,637653598.869631,2,1462.4000000953674
818,preseq_00000899,450269679.026623,450269496.226623,8,182.80000001192093,642543799.537596,642545261.937596,5,1462.3999999761581
819,preseq_00000911,444082148.801623,444081966.001623,10,182.80000001192093,647436971.870632,647437946.803965,16,974.9333329200745
820,preseq_00000923,445175590.939123,445175408.139123,10,182.79999995231628,637647749.114352,637649211.514351,5,1462.3999990224838
821,preseq_00000935,444082148.801623,444081966.001623,8,182.80000001192093,647437702.230218,647438433.430218,28,731.1999999284744
822,preseq_00000947,444081966.001623,444081783.201623,10,182.79999995231628,647436970.4091,647437701.6091,24,731.1999999284744
823,preseq_00000959,442568967.726306,442568784.926306,10,182.80000001192093,651329244.828533,651329732.295199,21,487.4666659832001
824,preseq_00000971,444081966.001623,444081783.201623,8,182.79999995231628,651329245.139092,651329732.605758,23,487.4666659832001
