,size,wf_name,inp_size,relation,ratio,algorithm
294,10000,atacseq_10000.dot,11187378708,dyn_vs_base,10.216200716396324,MeDiH-BL
295,20000,chipseq_20000.dot,4807293396,dyn_vs_base,13.552807433092115,MeDiH-BL
296,10000,chipseq_10000.dot,5058052541,dyn_vs_base,16.84163210268006,MeDiH-BL
297,4000,atacseq_4000.dot,11187378708,dyn_vs_base,9.078820749549532,MeDiH-BL
298,4000,chipseq_4000.dot,32978181418,dyn_vs_base,2.978053272880472,MeDiH-BL
299,4000,eager_4000.dot,19075314980,dyn_vs_base,3.0584781220093484,MeDiH-BL
300,4000,methylseq_4000.dot,17027257018,dyn_vs_base,2.061730298055569,MeDiH-BL
301,1000,chipseq_1000.dot,41366257414,dyn_vs_base,2.138067512963394,MeDiH-BL
302,10000,atacseq_10000.dot,3908761308,dyn_vs_base,13.250328253744028,MeDiH-BL
303,1000,eager_1000.dot,19100037384,dyn_vs_base,2.1368279315721033,MeDiH-BL
304,25000,eager_25000.dot,25705994498,dyn_vs_base,3.252919617417934,MeDiH-BL
305,25000,chipseq_25000.dot,41366257414,dyn_vs_base,2.8157214309633023,MeDiH-BL
306,15000,methylseq_15000.dot,11897958606,dyn_vs_base,2.2346773067904766,MeDiH-BL
307,30000,atacseq_30000.dot,2223941232,dyn_vs_base,19.538693686971687,MeDiH-BL
308,1000,methylseq_1000.dot,11897958606,dyn_vs_base,1.6604898431802606,MeDiH-BL
309,2000,atacseq_2000.dot,3908761308,dyn_vs_base,16.329113529504127,MeDiH-BL
310,100,methylseq,11897958606,dyn_vs_base,0.9999999998468493,MeDiH-BL
311,25000,chipseq_25000.dot,5058052541,dyn_vs_base,12.973563491596105,MeDiH-BL
312,15000,methylseq_15000.dot,110641579976,dyn_vs_base,1.3733867765711072,MeDiH-BL
313,15000,methylseq_15000.dot,17027257018,dyn_vs_base,2.2076976908815924,MeDiH-BL
314,2000,chipseq_2000.dot,32978181418,dyn_vs_base,2.407364226965896,MeDiH-BL
315,2000,eager_2000.dot,19100037384,dyn_vs_base,2.806916400081766,MeDiH-BL
316,20000,atacseq_20000.dot,14091675276,dyn_vs_base,6.174556408172063,MeDiH-BL
317,20000,atacseq_20000.dot,2223941232,dyn_vs_base,17.034303216585577,MeDiH-BL
318,2000,chipseq_2000.dot,5058052541,dyn_vs_base,18.43330604297961,MeDiH-BL
319,20000,methylseq_20000.dot,11897958606,dyn_vs_base,2.3620095736970357,MeDiH-BL
320,25000,atacseq_25000.dot,14091675276,dyn_vs_base,5.979590332849616,MeDiH-BL
321,4000,atacseq_4000.dot,14091675276,dyn_vs_base,7.549376795653679,MeDiH-BL
322,200,eager_200.dot,25705994498,dyn_vs_base,0.4176765872179408,MeDiH-BL
323,15000,chipseq_15000.dot,4605965334,dyn_vs_base,15.020121520976932,MeDiH-BL
324,15000,atacseq_15000.dot,14091675276,dyn_vs_base,6.396795441857578,MeDiH-BL
325,200,methylseq_200.dot,110641579976,dyn_vs_base,0.8607517581008141,MeDiH-BL
326,100,methylseq,6273818718,dyn_vs_base,0.9999999996051814,MeDiH-BL
