vertex start_time finish_time proc_num
fastqc_00000332 41403.8711111111 46579.355 23
fastqc_00001244 38816.1291666667 46579.355 24
fastqc_00000320 38816.1291666667 46579.355 25
fastqc_00001256 38816.1291666667 46579.355 26
fastqc_00000308 38816.1291666667 46579.355 27
fastqc_00001100 38816.1291666667 46579.355 28
fastqc_00000548 46579.355 51754.8388888889 18
fastqc_00001052 46579.355 51754.8388888889 19
fastqc_00000536 46579.355 51754.8388888889 20
fastqc_00001064 46579.355 51754.8388888889 21
fastqc_00000524 46579.355 51754.8388888889 22
fastqc_00001076 46579.355 51754.8388888889 23
fastqc_00000512 46579.355 54342.5808333333 29
fastqc_00001088 46579.355 54342.5808333333 24
fastqc_00000500 46579.355 54342.5808333333 25
fastqc_00001268 46579.355 54342.5808333333 26
fastqc_00000488 46579.355 54342.5808333333 27
fastqc_00000476 46579.355 54342.5808333333 28
fastqc_00001112 51754.8388888889 56930.3227777778 18
fastqc_00000464 51754.8388888889 56930.3227777778 19
fastqc_00001124 51754.8388888889 56930.3227777778 20
fastqc_00000452 51754.8388888889 56930.3227777778 21
fastqc_00001136 51754.8388888889 56930.3227777778 22
fastqc_00000440 51754.8388888889 56930.3227777778 23
fastqc_00001148 54342.5808333333 62105.8066666667 29
fastqc_00001676 54342.5808333333 62105.8066666667 24
fastqc_00001892 54342.5808333333 62105.8066666667 25
fastqc_00001808 54342.5808333333 62105.8066666667 26
fastqc_00001640 54342.5808333333 62105.8066666667 27
fastqc_00001628 54342.5808333333 62105.8066666667 28
fastqc_00001952 46579.355 62105.8066666667 5
fastqc_00001760 46579.355 62105.8066666667 4
fastqc_00001820 46579.355 62105.8066666667 3
fastqc_00001832 46579.355 62105.8066666667 2
fastqc_00001724 46579.355 62105.8066666667 1
fastqc_00001544 46579.355 62105.8066666667 0
fastqc_00001748 56930.3227777778 62105.8066666667 18
fastqc_00001916 56930.3227777778 62105.8066666667 19
fastqc_00001616 56930.3227777778 62105.8066666667 20
fastqc_00001712 56930.3227777778 62105.8066666667 21
fastqc_00001856 56930.3227777778 62105.8066666667 22
fastqc_00001556 56930.3227777778 62105.8066666667 23
fastqc_00001904 62105.8066666667 67281.2905555556 18
fastqc_00001928 62105.8066666667 67281.2905555556 19
fastqc_00001580 62105.8066666667 67281.2905555556 20
fastqc_00001784 62105.8066666667 67281.2905555556 21
fastqc_00001700 62105.8066666667 67281.2905555556 22
fastqc_00001652 62105.8066666667 67281.2905555556 23
fastqc_00001976 62105.8066666667 69869.0325 29
fastqc_00001568 62105.8066666667 69869.0325 24
fastqc_00001664 62105.8066666667 69869.0325 25
fastqc_00001772 62105.8066666667 69869.0325 26
fastqc_00001592 62105.8066666667 69869.0325 27
fastqc_00001688 62105.8066666667 69869.0325 28
fastqc_00001940 67281.2905555556 72456.7744444445 18
fastqc_00001964 67281.2905555556 72456.7744444445 19
fastqc_00001736 67281.2905555556 72456.7744444445 20
fastqc_00001844 67281.2905555556 72456.7744444445 21
fastqc_00001532 67281.2905555556 72456.7744444445 22
fastqc_00001604 67281.2905555556 72456.7744444445 23
fastqc_00001868 69869.0325 77632.2583333333 29
fastqc_00001988 69869.0325 77632.2583333333 24
fastqc_00001796 69869.0325 77632.2583333333 25
fastqc_00001880 69869.0325 77632.2583333333 26
bismark_deduplicate_00000777 55005406.7514634 55005411.3959425 33
bismark_deduplicate_00000249 47022404.7489626 47022417.1342404 18
bismark_deduplicate_00001581 41181845.3419224 41181857.7272002 19
bismark_deduplicate_00000261 44352527.5160953 44352539.9013731 19
bismark_deduplicate_00001293 36689909.5074429 36689921.8927207 20
bismark_deduplicate_00001869 52367344.6361989 52367357.0214767 18
